"Date","Return","Vol_GARCH","Vol_MSGARCH","Vol_GAS","VaR_GARCH_1","VaR_MSGARCH_1","VaR_GAS_1","ES_GARCH_1","ES_MSGARCH_1","ES_GAS_1","VaR_GARCH_5","VaR_MSGARCH_5","VaR_GAS_5","ES_GARCH_5","ES_MSGARCH_5","ES_GAS_5","RV_AAPL"
2014-04-17,-0.69302368438,1.277807851177,1.32956124740161,1.08236670025881,-2.96680100028032,-3.01918272417286,-2.43227320422645,-4.00621279299022,-4.02933450703622,-3.3144274763494,-1.7876977932144,-1.80792848205633,-1.50799691827948,-2.5688786554928,-2.58293106683168,-2.12989963370113,0.503265808305048
2014-04-21,-1.2936394514,1.27425912309917,1.3259788220834,1.09274025062493,-2.95821163717813,-3.01217436631619,-2.45810725112836,-3.99384168215174,-4.01598702498614,-3.34875829791206,-1.78175483391676,-1.80125184447259,-1.52425412259901,-2.56062657863376,-2.57382837282087,-2.15276965825297,0.593054525242586
2014-04-22,-1.5700801024,1.30338523035176,1.4056912920106,1.1601513054368,-3.02919572454374,-3.23015432235597,-2.61463526888655,-4.09125236700027,-4.34824488645464,-3.56554455052714,-1.82817921375903,-1.97663812519292,-1.6307835409559,-2.62408552302912,-2.799362649073,-2.29526346801507,0.385275580053888
2014-04-23,-0.0057309874137,1.34974657690106,1.38623622734179,1.24434205582709,-3.13538662300382,-3.16507907896918,-2.82361195250357,-4.23794758977554,-4.21589591448309,-3.84333128806064,-1.87871367852258,-1.89347523629687,-1.76102904491869,-2.71906519290249,-2.70388890757333,-2.4761482943248,0.557613365384167
2014-04-24,1.3143817821,1.32572031239825,1.35803267805367,1.2036723716349,-3.08083877290437,-3.09422701326798,-2.72438450099768,-4.16126882292966,-4.12583958604561,-3.711698818249,-1.84464629513292,-1.85267615876754,-1.69971150198372,-2.66865954029148,-2.64468773944097,-2.3890637236595,1.07413235657031
2014-04-25,-1.2897872983,1.33085514048684,1.36398111851716,1.2282551678471,-3.09537301736728,-3.1156446565478,-2.78093098922904,-4.18055599872365,-4.14340007566941,-3.78876032654199,-1.85337981788419,-1.8594588351322,-1.73634478917042,-2.68112491262451,-2.65612177929464,-2.43982708127349,0.628887660901683
2014-04-28,-0.73928325819,1.35437585495751,1.39417719174068,1.28231027104337,-3.15133731685213,-3.18587338241143,-2.91172230431632,-4.25801582694088,-4.24312552996656,-3.96401132036125,-1.88784443694946,-1.90544591152768,-1.82026632535757,-2.7319352139201,-2.72010534972015,-2.55551218310073,2.67592064753585
2014-04-29,0.39837570475,1.34764618432503,1.38736938223691,1.28185593024086,-3.13760260924123,-3.1705161333115,-2.90978313390262,-4.23849302015998,-4.22186455688366,-3.96110198315019,-1.87913080631069,-1.89522913739304,-1.81961538363592,-2.71898645100911,-2.70552113906501,-2.55334292556418,1.79582407159071
2014-04-30,-0.71309998457,1.32377843109982,1.35487615675876,1.24086606070131,-3.08376188156155,-3.0958066225235,-2.80932554557332,-4.16279195091265,-4.11518590473548,-3.8274575300565,-1.84560677561639,-1.84476470130849,-1.75621296242039,-2.6691735368377,-2.63628299262101,-2.46492134558012,1.28080248945529
2014-05-01,0.20273770224,1.3181872870904,1.34707336889622,1.24092042957119,-3.07107820908625,-3.08610268351152,-2.80923489697928,-4.14474728982385,-4.08909631844276,-3.82756932278295,-1.83772151778592,-1.83371933621972,-1.75621639790681,-2.65724624257806,-2.62009046972503,-2.46489821633235,1.13253384764808
2014-05-02,1.1425598736,1.29524381589537,1.320269055422,1.19705499884528,-3.01535786490861,-3.01549537226878,-2.70847606077083,-4.06749795961869,-4.00433025747988,-3.69144458844532,-1.8034587624404,-1.79350837658992,-1.69018837515652,-2.60683698136715,-2.56441565383393,-2.37554379239028,0.603421378887511
2014-05-05,1.1868023012,1.29394839009283,1.32014402693651,1.20650326284795,-3.01449404122645,-3.01674414116179,-2.72885363211031,-4.06558146426149,-4.0046713620787,-3.71994627522225,-1.8027496059306,-1.79281464101997,-1.70340906965176,-2.60538342824598,-2.56384621782484,-2.39419258682167,0.686102066453431
2014-05-06,0.099591467915,1.2947077003114,1.32259610220163,1.21894670674034,-3.01813868141306,-3.02462512949615,-2.75679114022498,-4.06991066107533,-4.01315255900891,-3.75781014673007,-1.80493655997073,-1.79584806657409,-1.72169301852676,-2.60801073123078,-2.56855969213857,-2.41903230861934,0.941621377796553
2014-05-07,-1.3069424619,1.27127263449794,1.29363612866769,1.1782656886323,-2.9648847474162,-2.95461541617484,-2.65797093721986,-3.99489072622792,-3.91728964207561,-3.62510628857386,-1.77192287601761,-1.75376756882017,-1.65649538212862,-2.55863421190369,-2.50656866578494,-2.33127688124309,1.41751500187674
2014-05-08,8.1981896141,1.30071645453771,1.32673799361123,1.23807790382589,-3.03483610216703,-3.032536907535,-2.80040699543087,-4.0913385416129,-4.02498175557532,-3.81719357175725,-1.81524406154775,-1.80299766701193,-1.75050627838158,-2.62179295123303,-2.57575559808317,-2.45789341914615,0.704516252561815
2014-05-09,0.7344523312,2.25711404245953,1.8728680031989,1.53061582884996,-5.33891034457799,-4.33680824791476,-3.48176435470944,-7.18382767341891,-5.72492777209853,-4.72561355358156,-3.24572476763651,-2.60969368408936,-2.18260808503375,-4.64971693485634,-3.6910260594065,-3.05712748054683,0.742424410858432
2014-05-12,3.8727838582,2.19332825954217,1.79104015853462,1.48749828007967,-5.18862885746108,-4.13730751683008,-3.37916257576024,-6.97695106136147,-5.46604592770875,-4.58923189516072,-3.15040924637292,-2.48576772164322,-2.12002323861045,-4.51353149819787,-3.52038074796924,-2.96711172875389,0.500073194037159
2014-05-13,-0.2962514096,2.32072705681263,2.11626663020612,1.71080621928423,-5.48797804217703,-4.90757997808709,-3.91446313892128,-7.38601190117355,-6.48829583523196,-5.29217534250886,-3.34278511311126,-2.96716456195166,-2.4510143500068,-4.78306347465546,-4.19088642702719,-3.43215620263058,0.54895343373687
2014-05-14,-0.37816757549,2.25235229713005,1.94941472395652,1.65117934551803,-5.32790960515459,-4.51257297718464,-3.76417016588875,-7.16824152495167,-5.96000695231998,-5.10187296210907,-3.2396624239305,-2.7176606423271,-2.35757499468742,-4.63921560672688,-3.84395741738022,-3.30571223853924,0.610502237487797
